meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
US National Championships (50m),01:05.78,28/07/2018,Women 100 Breaststroke LCM Female,USA,United States of America,"HANNIS, Molly",F,13/03/1992,,,136,136,926,Irvine,USA
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2018,01:05.78,09/06/2018,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,136,137,926,Canet-en-Roussillon,FRA
Olympic Games Rio 2016,01:05.78,07/08/2016,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,136,138,936,Rio de Janeiro,BRA
Olympic Games Rio 2016,01:05.79,07/08/2016,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,139,139,935,Rio de Janeiro,BRA
Maria Lenk Trophy 2011,01:05.79,03/05/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,139,140,940,Rio De Janeiro,BRA
Telstra Australian National Championships (50m),01:05.79,16/03/2010,Women 100 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,139,141,940,Sydney,AUS
Olympic Games Beijing 2008,01:05.80,11/08/2008,Women 100 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,142,142,1026,Beijing,CHN
Olympic Games Tokyo 2020,01:05.81,26/07/2021,Women 100 Breaststroke LCM Female,SWE,Sweden,"HANSSON, Sophie",F,02/08/1998,,,143,143,925,Tokyo,JPN
17th FINA World Championships 2017,01:05.81,24/07/2017,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,143,144,934,Budapest,HUN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2022,01:05.82,25/05/2022,Women 100 Breaststroke LCM Female,GER,Germany,"ELENDT, Anna",F,04/09/2001,,,145,145,924,Barcelona,ESP
The National Games,01:05.82,21/09/2021,Women 100 Breaststroke LCM Female,CHN,People's Republic of China,"TANG, Qianting",F,14/03/2004,,,145,146,924,Xian,CHN
Edinburgh International Swim Meet,01:05.82,11/03/2016,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,145,147,934,Edinburgh,GBR
US Olympic Team Trials,01:05.82,25/06/2012,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,145,148,938,Omaha,USA
Italian National Championships (50m),01:05.83,09/04/2022,Women 100 Breaststroke LCM Female,ITA,Italy,"PILATO, Benedetta",F,18/01/2005,,,149,149,924,Milan,ITA
US Winter National Championships (50m),01:05.83,01/12/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,149,150,938,Atlanta,USA
44th Santa Clara International,01:05.83,16/06/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,149,151,938,Santa Clara,USA
World Aquatics Championships - Fukuoka 2023,01:05.84,25/07/2023,Women 100 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,152,152,924,Fukuoka,JPN
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2023,01:05.84,17/05/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"JACOBY, Lydia",F,29/02/2004,,,152,153,924,Barcelona,ESP
58th International Trophy Sette Colli,01:05.84,25/06/2021,Women 100 Breaststroke LCM Female,ITA,Italy,"PILATO, Benedetta",F,18/01/2005,,,152,154,924,Rome,ITA
19th Commonwealth Games 2010,01:05.84,08/10/2010,Women 100 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,152,155,937,Delhi,IND
13th FINA World Championships 2009,01:05.84,27/07/2009,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,152,156,,Rome,ITA
Olympic Games Tokyo 2020,01:05.85,25/07/2021,Women 100 Breaststroke LCM Female,ITA,Italy,"CARRARO, Martina",F,21/06/1993,,,157,157,923,Tokyo,JPN
NC Charlotte UltraSwim 2012,01:05.85,10/05/2012,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,157,158,937,Charlotte,USA
Phillips 66 National Championships (50m),01:05.86,30/06/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"DOBLER, Kaitlyn",F,15/02/2002,,,159,159,923,Indianapolis,USA
Italian National Championships (50m),01:05.86,02/04/2021,Women 100 Breaststroke LCM Female,ITA,Italy,"CARRARO, Martina",F,21/06/1993,,,159,160,923,Riccione,ITA
13th FINA World Championships 2009,01:05.86,28/07/2009,Women 100 Breaststroke LCM Female,AUS,Australia,"KATSOULIS, Sarah",F,10/05/1984,,,159,161,,Rome,ITA
European Championships 2018,01:05.87,04/08/2018,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,162,162,922,Glasgow,GBR
19th FINA World Championships Budapest 2022,01:05.88,19/06/2022,Women 100 Breaststroke LCM Female,ITA,Italy,"PILATO, Benedetta",F,18/01/2005,,,163,163,922,Budapest,HUN
Japan Open (50m) 2014,01:05.88,19/06/2014,Women 100 Breaststroke LCM Female,JPN,Japan,"WATANABE, Kanako",F,15/11/1996,,,163,164,931,Tokyo,JPN
South African National Championships (50m),01:05.89,12/04/2023,Women 100 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,165,165,921,Gqeberha,RSA
Japan National Championships 2023 (50m),01:05.89,05/04/2023,Women 100 Breaststroke LCM Female,JPN,Japan,"AOKI, Reona",F,24/02/1995,,,165,166,921,Tokyo,JPN
US Olympic Team Trials - Wave II,01:05.89,14/06/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"GALAT, Bethany",F,10/08/1995,,,165,167,921,Omaha,USA
South African Grand Prix 2021,01:05.89,19/02/2021,Women 100 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,165,168,921,Stellenbosch,RSA
CA MVN March  Senior I 2015 (50m),01:05.89,21/03/2015,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,165,169,931,Mission Viejo,USA
