meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
16th FINA World Championships 2015,58.52,03/08/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,66,68,996,Kazan,RUS
16th FINA World Championships 2015,58.52,02/08/2015,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,66,69,996,Kazan,RUS
19th FINA World Championships Budapest 2022,58.55,18/06/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,70,70,916,Budapest,HUN
British National Championships (50m),58.56,18/04/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,71,71,928,Sheffield,GBR
Italian National Championships (50m),58.57,10/04/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,72,72,915,Milan,ITA
British National Championships (50m),58.58,05/04/2022,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,73,73,915,Sheffield,GBR
European Championships 2021,58.58,18/05/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,73,74,915,Budapest,HUN
Belarus National Championships (50m),58.58,17/04/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,73,75,926,Brest,BLR
13th FINA World Championships 2009,58.58,27/07/2009,Men 100 Breaststroke LCM Male,AUS,Australia,"RICKARD, Brenton",M,19/10/1983,,,73,76,,Rome,ITA
21st Commonwealth Games 2018,58.59,06/04/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,77,77,927,Gold Coast,AUS
16th FINA World Championships 2015,58.59,03/08/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,77,78,993,Kazan,RUS
16th FINA World Championships 2015,58.59,02/08/2015,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,77,79,993,Kazan,RUS
FINA Champions Swim Series 2020,58.61,14/01/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,80,80,914,Shenzen,CHN
55th International Trophy Sette Colli,58.61,29/06/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,80,81,926,Rome,ITA
19th FINA World Championships Budapest 2022,58.62,19/06/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,82,82,913,Budapest,HUN
