meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Rio 2016,55.48,07/08/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,1,1,1008,Rio de Janeiro,BRA
17th FINA World Championships 2017,55.53,24/07/2017,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,2,2,997,Budapest,HUN
Olympic Games Tokyo 2020,55.59,26/07/2021,Women 100 Butterfly LCM Female,CAN,Canada,"MACNEIL, Margaret",F,26/02/2000,,,3,3,994,Tokyo,JPN
Chinese National Championships (50m),55.62,29/09/2020,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,4,4,992,Qingdao,CHN
19th FINA World Championships Budapest 2022,55.64,19/06/2022,Women 100 Butterfly LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,5,5,991,Budapest,HUN
Olympic Games Tokyo 2020,55.64,26/07/2021,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,5,6,991,Tokyo,JPN
16th FINA World Championships 2015,55.64,03/08/2015,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,5,7,1018,Kazan,RUS
US Olympic Team Trials - Wave II,55.66,14/06/2021,Women 100 Butterfly LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,8,8,990,Omaha,USA
Swim Open Stockholm,55.68,31/03/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,9,9,997,Stockholm,SWE
Olympic Games Tokyo 2020,55.72,26/07/2021,Women 100 Butterfly LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,10,10,987,Tokyo,JPN
Olympic Games Tokyo 2020,55.73,26/07/2021,Women 100 Butterfly LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,11,11,986,Tokyo,JPN
Chinese National Championships (50m),55.73,02/05/2021,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,11,12,986,Qingdao,CHN
16th FINA World Championships 2015,55.74,02/08/2015,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,13,13,1012,Kazan,RUS
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,55.76,17/06/2017,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,14,14,985,Canet-en-Roussillon,FRA
17th FINA World Championships 2017,55.77,23/07/2017,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,15,15,984,Budapest,HUN
US Olympic Team Trials - Wave II,55.78,13/06/2021,Women 100 Butterfly LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,16,16,983,Omaha,USA
Olympic Games Tokyo 2020,55.82,24/07/2021,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,17,17,981,Tokyo,JPN
Olympic Games Tokyo 2020,55.82,24/07/2021,Women 100 Butterfly LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,17,18,981,Tokyo,JPN
18th FINA World Championships 2019,55.83,22/07/2019,Women 100 Butterfly LCM Female,CAN,Canada,"MACNEIL, Margaret",F,26/02/2000,,,19,19,981,Gwangju,KOR
Olympic Games Rio 2016,55.84,06/08/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,20,20,989,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,55.89,25/07/2021,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,21,21,978,Tokyo,JPN
European Championships 2016,55.89,20/05/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,21,22,986,London,GBR
Hancock Prospecting Australian Swimming Trials 2021,55.93,12/06/2021,Women 100 Butterfly LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,23,23,976,Adelaide,AUS
Swedish National Championships (50m),55.95,07/07/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,24,24,983,Norrkoping,SWE
Chinese National Championships (50m),55.96,30/04/2021,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,25,25,974,Qingdao,CHN
17th FINA World Championships 2017,55.96,23/07/2017,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,25,26,974,Budapest,HUN
Olympic Games London 2012,55.98,29/07/2012,Women 100 Butterfly LCM Female,USA,United States of America,"VOLLMER, Dana",F,13/11/1987,,,27,27,1004,London,GBR
52nd International Trophy Sette Colli,56.04,12/06/2015,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,28,28,996,Rome,ITA
13th FINA World Championships 2009,56.06,27/07/2009,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,29,29,,Rome,ITA
11th Chinese National Games,56.07,18/10/2009,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,31/03/1989,,,30,30,,Jinan,CHN
13th Pan Pacific Championships 2018,56.08,11/08/2018,Women 100 Butterfly LCM Female,JPN,Japan,"IKEE, Rikako",F,04/07/2000,,,31,31,968,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,56.12,24/07/2023,Women 100 Butterfly LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,32,32,966,Fukuoka,JPN
European Championships 2016,56.12,19/05/2016,Women 100 Butterfly LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,32,33,974,London,GBR
19th FINA World Championships Budapest 2022,56.14,19/06/2022,Women 100 Butterfly LCM Female,FRA,France,"WATTEL, Marie",F,02/06/1997,,,34,34,965,Budapest,HUN
Take5 HP Event,56.14,27/05/2021,Women 100 Butterfly LCM Female,CAN,Canada,"MACNEIL, Margaret",F,26/02/2000,,,34,35,965,Toronto,CAN
Olympic Games Tokyo 2020,56.16,25/07/2021,Women 100 Butterfly LCM Female,FRA,France,"WATTEL, Marie",F,02/06/1997,,,36,36,964,Tokyo,JPN
