meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Beijing 2008,52.54,12/08/2008,Men 100 Backstroke LCM Male,USA,United States of America,"PEIRSOL, Aaron",M,23/07/1983,,,104,108,1025,Beijing,CHN
US National Championships (50m),52.55,28/07/2018,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,109,109,960,Irvine,USA
World Aquatics Championships - Fukuoka 2023,52.56,24/07/2023,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,110,110,946,Fukuoka,JPN
19th FINA World Championships Budapest 2022,52.57,20/06/2022,Men 100 Backstroke LCM Male,GRE,Greece,"CHRISTOU, Apostolos",M,01/11/1996,,,111,111,959,Budapest,HUN
18th FINA World Championships 2019,52.57,28/07/2019,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,111,112,959,Gwangju,KOR
Japan Swim 2014,52.57,10/04/2014,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,111,113,964,Tokyo,JPN
13th FINA World Championships 2009,52.57,02/08/2009,Men 100 Backstroke LCM Male,RUS,Russian Federation,"VYATCHANIN, Arkady",M,04/04/1984,,,111,114,,Rome,ITA
World Aquatics Championships - Fukuoka 2023,52.58,25/07/2023,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,115,115,945,Fukuoka,JPN
19th FINA World Championships Budapest 2022,52.58,19/06/2022,Men 100 Backstroke LCM Male,POL,Poland,"MASIUK, Ksawery",M,17/12/2004,,,115,116,958,Budapest,HUN
Olympic Games London 2012,52.58,04/08/2012,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,115,117,963,London,GBR
European Championships 2010,52.58,09/08/2010,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,115,118,963,Budapest,HUN
TYR Pro Swim Series Westmont 2023,52.59,14/04/2023,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,119,119,944,Westmont,USA
Kosuke Kitajima Cup 2020,52.59,24/01/2020,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,119,120,958,Tokyo,JPN
17th FINA World Championships 2017,52.59,25/07/2017,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,119,121,958,Budapest,HUN
Chinese National Championships (50m),52.60,30/09/2020,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,122,122,957,Qingdao,CHN
18th Asian Games 2018,52.60,24/08/2018,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,122,123,957,Jakarta,INA
2017 National Games ,52.60,01/09/2017,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,122,124,957,Tianjin,CHN
25th Summer Universiade 2009,52.60,06/07/2009,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,122,125,,Belgrade,SRB
13th Pan Pacific Championships 2018,52.61,12/08/2018,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,126,126,957,Tokyo,JPN
Russian National Championships (50m),52.63,09/04/2021,Men 100 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,127,127,956,Kazan,RUS
World Aquatics Championships - Fukuoka 2023,52.64,25/07/2023,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,128,128,941,Fukuoka,JPN
US Olympic Team Trials - Swimming,52.64,27/06/2016,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,128,129,960,Omaha,USA
13th FINA World Championships 2009,52.64,28/07/2009,Men 100 Backstroke LCM Male,ESP,Spain,"WILDEBOER FABER, Aschwin",M,14/02/1986,,,128,130,,Rome,ITA
Chinese National Championships (50m),52.66,01/05/2023,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,131,131,940,Hangzhou,CHN
European Championships 2018,52.66,09/08/2018,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,131,132,954,Glasgow,GBR
16th FINA World Championships 2015,52.66,04/08/2015,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,131,133,959,Kazan,RUS
Olympic Games London 2012,52.66,29/07/2012,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,131,134,959,London,GBR
US Olympic Team Trials - Wave II,52.67,14/06/2021,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,135,135,954,Omaha,USA
18th FINA World Championships 2019,52.67,23/07/2019,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,135,136,954,Gwangju,KOR
Russian National Championships (50m),52.67,23/04/2018,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,135,137,954,Moscow,RUS
TYR Pro Swim Series Knoxville 2023,52.68,13/01/2023,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,138,138,939,Knoxville,USA
17th FINA World Championships 2017,52.69,30/07/2017,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,139,139,952,Budapest,HUN
Olympic Games Tokyo 2020,52.70,25/07/2021,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,140,140,952,Tokyo,JPN
13th Pan Pacific Championships 2018,52.70,12/08/2018,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,140,141,952,Tokyo,JPN
Olympic Games Rio 2016,52.70,12/08/2016,Men 100 Backstroke LCM Male,USA,United States of America,"PLUMMER, David",M,09/10/1985,,,140,142,957,Rio de Janeiro,BRA
Olympic Games Rio 2016,52.70,08/08/2016,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,140,143,957,Rio de Janeiro,BRA
Olympic Games Rio 2016,52.70,07/08/2016,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,140,144,957,Rio de Janeiro,BRA
16th FINA World Championships 2015,52.70,03/08/2015,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,140,145,957,Kazan,RUS
13th FINA World Championships 2009,52.70,02/08/2009,Men 100 Backstroke LCM Male,ESP,Spain,"WILDEBOER FABER, Aschwin",M,14/02/1986,,,140,146,,Rome,ITA
US National Championships (50m),52.71,30/06/2017,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,147,147,951,Indianapolis,USA
19th FINA World Championships Budapest 2022,52.72,19/06/2022,Men 100 Backstroke LCM Male,FRA,France,"NDOYE-BROUARD, Yohann",M,29/11/2000,,,148,148,951,Budapest,HUN
Philipps 66 USA National Championships (50m),52.72,03/08/2019,Men 100 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,148,149,951,Palo Alto,USA
Chinese Nationals,52.72,13/04/2018,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,148,150,951,Shanxi,CHN
Chinese National Championships (50m),52.72,13/04/2018,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,148,151,951,Taiyuan,CHN
Olympic Games Rio 2016,52.72,07/08/2016,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,148,152,956,Rio de Janeiro,BRA
Phillips 66 International Team Trials 2022,52.73,29/04/2022,Men 100 Backstroke LCM Male,USA,United States of America,"RESS, Justin",M,03/08/1997,,,153,153,950,Greensboro,USA
Olympic Games Rio 2016,52.73,07/08/2016,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,153,154,955,Rio de Janeiro,BRA
16th FINA World Championships 2015,52.73,03/08/2015,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,153,155,955,Kazan,RUS
13th FINA World Championships 2009,52.73,28/07/2009,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,153,156,,Rome,ITA
13th FINA World Championships 2009,52.73,28/07/2009,Men 100 Backstroke LCM Male,GBR,Great Britain,"TANCOCK, Liam",M,07/05/1985,,,153,157,,Rome,ITA
13th FINA World Championships 2009,52.73,27/07/2009,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,153,158,,Rome,ITA
Russian National Championships (50m),52.74,04/04/2021,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,159,159,950,Kazan,RUS
European Championships 2018,52.74,06/08/2018,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,159,160,950,Glasgow,GBR
Olympic Games Rio 2016,52.74,08/08/2016,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,159,161,955,Rio de Janeiro,BRA
Russian National Championships (50m),52.75,21/04/2023,Men 100 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,162,162,936,Kazan,RUS
19th FINA World Championships Budapest 2022,52.75,20/06/2022,Men 100 Backstroke LCM Male,POL,Poland,"MASIUK, Ksawery",M,17/12/2004,,,162,163,949,Budapest,HUN
McDonald’s Queensland Championships 2020,52.75,13/12/2020,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,162,164,949,Brisbane,AUS
US National Championships (50m),52.75,06/08/2014,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,162,165,954,Irvine,USA
French National Championships (50m),52.75,18/03/2012,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,162,166,954,Dunkerke,FRA
25th Summer Universiade 2009,52.75,11/07/2009,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,162,167,,Belgrade,SRB
Olympic Games Tokyo 2020,52.76,26/07/2021,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,168,168,949,Tokyo,JPN
US Olympic Team Trials - Wave II,52.76,15/06/2021,Men 100 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,168,169,949,Omaha,USA
US Olympic Team Trials - Swimming,52.76,28/06/2016,Men 100 Backstroke LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,168,170,954,Omaha,USA
Arena Pro Swim Series Santa Clara 2016,52.76,04/06/2016,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,168,171,954,Santa Clara,USA
14th FINA World Championships 2011,52.76,26/07/2011,Men 100 Backstroke LCM Male,FRA,France,"STRAVIUS, Jeremy",M,14/07/1988,,,168,172,954,Shanghai,CHN
14th FINA World Championships 2011,52.76,26/07/2011,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,168,173,954,Shanghai,CHN
14th FINA World Championships 2011,52.76,25/07/2011,Men 100 Backstroke LCM Male,FRA,France,"STRAVIUS, Jeremy",M,14/07/1988,,,168,174,954,Shanghai,CHN
13th FINA World Championships 2009,52.76,27/07/2009,Men 100 Backstroke LCM Male,ESP,Spain,"WILDEBOER FABER, Aschwin",M,14/02/1986,,,168,175,,Rome,ITA
Olympic Games Tokyo 2020,52.77,01/08/2021,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,176,176,948,Tokyo,JPN
Olympic Games Tokyo 2020,52.77,30/07/2021,Men 100 Backstroke LCM Male,FRA,France,"NDOYE-BROUARD, Yohann",M,29/11/2000,,,176,177,948,Tokyo,JPN
US Olympic Team Trials - Wave II,52.77,14/06/2021,Men 100 Backstroke LCM Male,USA,United States of America,"CASAS, Shaine",M,25/12/1999,,,176,178,948,Omaha,USA
European Championships 2021,52.77,19/05/2021,Men 100 Backstroke LCM Male,GRE,Greece,"CHRISTOU, Apostolos",M,01/11/1996,,,176,179,948,Budapest,HUN
18th FINA World Championships 2019,52.77,23/07/2019,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,176,180,948,Gwangju,KOR
European Championships 2018,52.77,09/08/2018,Men 100 Backstroke LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09/07/2000,,,176,181,948,Glasgow,GBR
17th FINA World Championships 2017,52.77,24/07/2017,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,176,182,948,Budapest,HUN
South African National Championships (50m),52.78,12/04/2023,Men 100 Backstroke LCM Male,RSA,South Africa,"COETZE, Pieter",M,13/05/2004,,,183,183,934,Gqeberha,RSA
Olympic Games Tokyo 2020,52.78,27/07/2021,Men 100 Backstroke LCM Male,ESP,Spain,"GONZALEZ, Hugo",M,19/02/1999,,,183,184,948,Tokyo,JPN
Olympic Games Tokyo 2020,52.78,26/07/2021,Men 100 Backstroke LCM Male,ITA,Italy,"CECCON, Thomas",M,27/01/2001,,,183,185,948,Tokyo,JPN
18th FINA World Championships 2019,52.78,23/07/2019,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,183,186,948,Gwangju,KOR
13th Pan Pacific Championships 2018,52.78,10/08/2018,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,183,187,948,Tokyo,JPN
90th Inter College Swimming Championships,52.78,05/09/2014,Men 100 Backstroke LCM Male,JPN,Japan,"HAGINO, Kosuke",M,15/08/1994,,,183,188,953,Kanagawa,JPN
Phillips 66 National Championships (50m),52.79,30/06/2023,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,189,189,933,Indianapolis,USA
Olympic Games Tokyo 2020,52.79,27/07/2021,Men 100 Backstroke LCM Male,AUS,Australia,"LARKIN, Mitchell",M,09/07/1993,,,189,190,947,Tokyo,JPN
TYR Pro Swim Series Des Moines 2020,52.79,07/03/2020,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,189,191,947,Des Moines,USA
Mission Viejo Swim Meet of Champions,52.79,23/06/2019,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,189,192,947,Mission Viejo,USA
Russian National Swimming Cup Final,52.80,26/07/2023,Men 100 Backstroke LCM Male,CLB,Club,"RYLOV, Evgenii",M,23/09/1996,,,193,193,933,kazan,RUS
19th FINA World Championships Budapest 2022,52.80,19/06/2022,Men 100 Backstroke LCM Male,USA,United States of America,"MURPHY, Ryan",M,02/07/1995,,,193,194,946,Budapest,HUN
17th FINA World Championships 2017,52.80,30/07/2017,Men 100 Backstroke LCM Male,JPN,Japan,"IRIE, Ryosuke",M,24/01/1990,,,193,195,946,Budapest,HUN
Grand Prix - Puchar Polski,52.81,25/02/2023,Men 100 Backstroke LCM Male,POL,Poland,"MASIUK, Ksawery",M,17/12/2004,,,196,196,932,Lublin,POL
19th FINA World Championships Budapest 2022,52.81,19/06/2022,Men 100 Backstroke LCM Male,USA,United States of America,"ARMSTRONG, Hunter",M,24/01/2001,,,196,197,946,Budapest,HUN
FINA Champions Swim Series 2019,52.81,11/05/2019,Men 100 Backstroke LCM Male,RUS,Russian Federation,"RYLOV, Evgeny",M,23/09/1996,,,196,198,946,Budapest,HUN
16th FINA World Championships 2015,52.81,09/08/2015,Men 100 Backstroke LCM Male,FRA,France,"LACOURT, Camille",M,22/04/1985,,,196,199,951,Kazan,RUS
17th Asian Games 2014,52.81,21/09/2014,Men 100 Backstroke LCM Male,CHN,People's Republic of China,"XU, Jiayu",M,19/08/1995,,,196,200,951,Incheon,KOR
